Title,Description,Topic,Video ID,URL,Views
Using numerology as a tool for personal development | #melomerezco #94,Subscribe to the channel and turn on notifications so that you don't miss any new episodes! Hope you enjoy! Loving episode 94?,Personal development,gst01k_W-X0,https://www.youtube.com/watch?v=gst01k_W-X0,14
QUANTUM COMPUTERS in OUR BRAIN !? 🤯 w/ Michio Kaku,Subscribe for more daily content! // #neildegrassetyson #michiokaku #shorts #science #universe #alien.,Computer Science and technology,PR0zFOgTrYQ,https://www.youtube.com/watch?v=PR0zFOgTrYQ,224079
GED/HiSET Social Studies Part 1 - Need to Know!,Download the FREE Social Studies Worksheet: https://bit.ly/SocialStudiesWorksheet Are you struggling with the GED Social ...,Social Studies,PMdJ_g0Fb48,https://www.youtube.com/watch?v=PMdJ_g0Fb48,5214
&#39;Best Day Ever&#39; in 24 different languages,Best Day Ever 24 in 24 different languages: https://youtu.be/ePQ7vRCw5EI May I Take Your Hat Sir? in 18 different ...,languages,ZE_p0zmEgPI,https://www.youtube.com/watch?v=ZE_p0zmEgPI,9629079
"NTA-UGC-NET|TARGET FEBRUARY EXAM 2023 |UNIT-7 Pedagogy, Andragogy and Assessment | COMPLETE REVISION","NTA-UGC-NET|TARGET FEBRUARY EXAM 2023 |UNIT-7 Pedagogy, Andragogy and Assessment | COMPLETE REVISION ...",Education and Pedagogy,nlkUELxZu5k,https://www.youtube.com/watch?v=nlkUELxZu5k,3430
What&#39;s inside of blood? | Lab values and concentrations | Health &amp; Medicine | Khan Academy,Spin down your blood and find out what it's made up of. Rishi is a pediatric infectious disease physician and works at Khan ...,Health and medicine,5MOn8X-tyFw,https://www.youtube.com/watch?v=5MOn8X-tyFw,773407
How do the arts and humanities play into University of Edinburgh’s 2030 Strategy?,Eighth in the series of Edinburgh Culture Coversations - held Monday 31st August 2020. Produced by the University of ...,Arts and Humanities,MM9AY_d4B7k,https://www.youtube.com/watch?v=MM9AY_d4B7k,325
Day in the life of a computer science student in Shanghai,"Join me on a day in the life of a computer science student in Shanghai. Experience university classes, city exploration, and local ...",Computer Science and technology,QMBmyIWzOCQ,https://www.youtube.com/watch?v=QMBmyIWzOCQ,27653
mobile language kaise change kare | रियल मी मोबाइल में भाषा कैसे चेंज करें | mobile me bhasha change,आज के वीडियो में आपको बताया गया है कैसे आप मोबाइल की भासा को बदल सकते ...,languages,OntNbkWVO9s,https://www.youtube.com/watch?v=OntNbkWVO9s,1957064
🔥 500+ Questions Learning MCQs  For SSB TGT pedagogy| SSB TGT Arts pcm CBZ Hindi Sanskrit pedagogy,SIR odia YouTube *TELEGRAM* channel ❤️             Be ready for upcoming 2024 notification Be prepared ...,Education and Pedagogy,cdtmj35BGuc,https://www.youtube.com/watch?v=cdtmj35BGuc,61025
Can you invert the Jar without emptying it? #theoryofphysics #anubhavsir #gwalior,,Science,_TEN8cHvxso,https://www.youtube.com/watch?v=_TEN8cHvxso,127391744
OSTEOMYELITIS- Causes #mcqs #medicine #medical #orthopaedics #pathology #fmge #neetpg #inicet,,Health and medicine,DQ0FhGW9oiI,https://www.youtube.com/watch?v=DQ0FhGW9oiI,83
Why Everyone Should Learn a Second Language  | J Lou | TEDxHKU,NOTE FROM TED: This talk only represents the speaker's personal views and understanding of language-learning and the brain.,languages,E4dScHDxBjk,https://www.youtube.com/watch?v=E4dScHDxBjk,455598
Quantum Computer: भविष्य की क्रांति! #science #technology #computerscience #viralshorts #facts,Quantum Computer: The Revolutionary Future of Computing* A quantum computer is a groundbreaking technological innovation ...,Computer Science and technology,PDkiiWeZGWU,https://www.youtube.com/watch?v=PDkiiWeZGWU,421
Quantum Parallelism Explained in 60 Seconds  Episode 11-How Quantum Computers Work!,"Quantum parallelism lets quantum computers evaluate multiple possibilities simultaneously, unlocking their extraordinary power.",Computer Science and technology,TD4BMvtGtok,https://www.youtube.com/watch?v=TD4BMvtGtok,388
How to identify generic medicine /  Generic medicine vs Branded medicine / Generic  vs branded drugs,Press like button for motivation In this video we discuss about Generic medicine and branded medicine What is generic medicine?,Health and medicine,MBjAeaaIofg,https://www.youtube.com/watch?v=MBjAeaaIofg,299576
Polyglot Police Officer,,languages,0ShKBacC5m0,https://www.youtube.com/watch?v=0ShKBacC5m0,133570689
TOP 100 MCQs For ADRE 2024 ❤️ Marathon Class- Social Studies and GK (সমাজ অধ্যয়ন | সাধাৰণ জ্ঞান) ❤️,TOP 100 MCQs For ADRE 2024 ❤️ Marathon Class- Social Studies and GK (সমাজ অধ্যয়ন | সাধাৰণ ...,Social Studies,hxDLjfQnvbs,https://www.youtube.com/watch?v=hxDLjfQnvbs,227638
Viral video ka sach | Science Experiment #shorts #chemistry #experiment #scienceandfun #viral,,Science,Glc470hSj-k,https://www.youtube.com/watch?v=Glc470hSj-k,16166507
धोकेबाज़ Gf🤣|| Maths Tricks || Math Trick || Math Short Tricks || #shorts #short #youtubeshorts,धोकेबाज़ Gf🤣 || Maths Tricks || Math Trick || Math Short Tricks || #shorts #short #youtubeshorts maths tricks maths tricks ...,Mathematics,sqG_oIbQ_30,https://www.youtube.com/watch?v=sqG_oIbQ_30,394065
Learn from the unexpected. 🧠 #billnye #science,About MasterClass: MasterClass is the streaming platform where anyone can learn from the world's best. With an annual ...,Science,I_aTlECgpGs,https://www.youtube.com/watch?v=I_aTlECgpGs,42297436
Arts &amp; Humanities Dean’s Alumni Briefing Video,School of Arts and Humanities Alumni Briefing. Dean Mahon recaps the year's accomplishments.,Arts and Humanities,EMepaq7f5ig,https://www.youtube.com/watch?v=EMepaq7f5ig,39
123 numbers matching | math worksheet for lkg ukg class | toppo kids,123 numbers matching | math worksheet for lkg ukg class | toppo kids Match numbers with their spelling | class lkg ukg math ...,Mathematics,21HwrzFSOjA,https://www.youtube.com/watch?v=21HwrzFSOjA,831491
What are Social Sciences?,"When you study social sciences, you learn to ask questions about society and social relationships. Social sciences students at ...",Social Studies,EXobZMs2IOE,https://www.youtube.com/watch?v=EXobZMs2IOE,102528
📢Most Recommended Books 📚 for Class 11th Art&#39;s (Humanities) + IAS Preparation | Sachin Sir | Kelvin,PDF's of all YT sessions are available(Free of Cost) only on MAGIC BOX Download Now - https://bit.ly/KELVINLIVE_APP ...,Arts and Humanities,Qt0-_plZYXg,https://www.youtube.com/watch?v=Qt0-_plZYXg,18867
Concurso Mangaratiba professor de matemática Banca IAN,Venha fazer parte de nossa turma para professor de matemática Concurso de Magé Pagamento por Pix e por cartão de crédito ...,Mathematics,jHrMeNi6VyM,https://www.youtube.com/watch?v=jHrMeNi6VyM,189
Personal Development Grade11&amp;12 Quarter1 Week5 EP5 Coping with Stress in Middle and Late Adolescence,Personal Development Grade11&12 Quarter1 Week5 EP5 Coping with Stress in Middle and Late Adolescence.,Personal development,CN_cKhfRVrw,https://www.youtube.com/watch?v=CN_cKhfRVrw,4791
Ap 9th class social studies Sa1 exam question paper with answers|9th Sa1 social studies real paper,Ap 9th class social studies Sa1 exam question paper with answers|9th Sa1 social studies real paper telegram link https://t.me/ ...,Social Studies,voiW0Dlb0zg,https://www.youtube.com/watch?v=voiW0Dlb0zg,8244
Learn the power of body language (Look confident &amp; dominating),,languages,ezukfAUTccs,https://www.youtube.com/watch?v=ezukfAUTccs,12425198
RRB Technician 2024 |Maths Expected Paper |RRB Technician Expected Maths Questions |CTM by Sahil sir,RRB Technician 2024 |Maths Expected Paper |RRB Technician Expected Maths Questions |CTM by Sahil sir 🔥For ...,Mathematics,a39R6Bgb064,https://www.youtube.com/watch?v=a39R6Bgb064,123906
SOCIAL STUDIES MAJOR,,Social Studies,ljwwBxZKxO4,https://www.youtube.com/watch?v=ljwwBxZKxO4,3517
Top 10 Best Personal Development Advice Jim Rohn,,Personal development,Yn5GYPzhmq8,https://www.youtube.com/watch?v=Yn5GYPzhmq8,1741963
LET REVIEW AND DRILL - SEPTEMBER 2024 (New Curriculum),LET REVIEW AND DRILL - SEPTEMBER 2024 (New Curriculum),Social Studies,oA6vnvOTJYw,https://www.youtube.com/watch?v=oA6vnvOTJYw,12630
9 Math Riddles That&#39;ll Stump Even Your Smartest Friends,"Math puzzles and maths games continue to become more and more popular. They seem very easy at first, but many people end ...",Mathematics,r5P-f5arPXE,https://www.youtube.com/watch?v=r5P-f5arPXE,13246994
Treat them well [KINDNESS MAN] #kindness #respect #goodman #happy #humanities,Thank you for supporting our channel. Subscribe to our channel to see touching and meaningful stories every day. LIKE + SHARE ...,Arts and Humanities,05KEZO9hhI8,https://www.youtube.com/watch?v=05KEZO9hhI8,21672
adre grade IV exam 2024 || social studies most important questions || সমাজ অধ্যয়ন |target 12600 post,Video Title:- adre grade IV exam 2024 || social studies most important questions || সমাজ অধ্যয়ন |target 12600 post ...,Social Studies,Kf5BLf25iCY,https://www.youtube.com/watch?v=Kf5BLf25iCY,7019
What’s the area?,"This is a short, animated visual proof finding the area bounded between three mutually tangent unit circles. Have a different ...",Mathematics,JiX9QI8zwwo,https://www.youtube.com/watch?v=JiX9QI8zwwo,1523852
"Welcome to ARTS, HUMANITIES AND SOCIAL SCIENCES","Liberal arts education is at the heart of the University of Denver. Our faculty, staff and students come together in a shared quest for ...",Arts and Humanities,z3b5VeaRRxc,https://www.youtube.com/watch?v=z3b5VeaRRxc,1379
Tuition Free: Full-tuition MD Scholarships at NYU School of Medicine,"In 2018, NYU School of Medicine made a historic commitment to provide full-tuition scholarships for all MD students, regardless of ...",Health and medicine,4Ffuzj0a0dQ,https://www.youtube.com/watch?v=4Ffuzj0a0dQ,41135
Computer Science Vs Software Engineering | How to Pick the Right Major,STEMerch Store: https://stemerch.com/Support the Channel: https://www.patreon.com/zachstar PayPal(one time donation): ...,Computer Science and technology,VxvQYZJNLxI,https://www.youtube.com/watch?v=VxvQYZJNLxI,255078
How Science Proves God! w/ John Bergsma,"Dr. John Bergsma is Professor of Theology at the Franciscan University of Steubenville. A former Protestant pastor, Dr. Bergsma ...",Science,HwRVvZok_dA,https://www.youtube.com/watch?v=HwRVvZok_dA,776764
BTTV Share Market LIVE Updates: Sensex Nifty Live | Business &amp; Finance News | F&amp;O | Stocks To Invest,marketopening #morningbell #marketlive #sharemarketnews The Indian stock market is a volatile and ever-changing landscape.,Business and finance,4FSvpw2gaTA,https://www.youtube.com/watch?v=4FSvpw2gaTA,967
Social Studies Important MCQ Set-1 (SEBA+NCERT) || অসম চৰকাৰৰ পৰীক্ষাৰ বাবে গুৰুত্ত্বপূৰ্ন ||,Social Studies Important MCQ Set-1 (SEBA+NCERT)|| অসম চৰকাৰৰ পৰীক্ষাৰ বাবে ...,Social Studies,aD8eKxhn--o,https://www.youtube.com/watch?v=aD8eKxhn--o,15586
good health capsule | good health capsule ke fayde #shorts #goodhealth #weightloss,good health capsule | good health capsule ke fayde #shorts #goodhealth #weightloss Buy -https://amzn.to/45s6i0j.,Health and medicine,Uf72vASUevQ,https://www.youtube.com/watch?v=Uf72vASUevQ,436453
Ancient Egypt for Kids | Learn the History of Ancient Egypt,In our Ancient Egypt for Kids video students will learn all about the history of ancient Egypt and when watched in combination with ...,Social Studies,zYxC14pCaJ0,https://www.youtube.com/watch?v=zYxC14pCaJ0,918388
Health issues due to cold | Medicine purchased from India #trending #shorts #norway,,Health and medicine,X5GiOTdTgtg,https://www.youtube.com/watch?v=X5GiOTdTgtg,82
(V-1) MCQ from Social Studies class 10 SCERT. Assam Direct Recruitment exam 2022. @Lakshyatalk,"Thankyou for watching the video, i always try to make you understand everything in a simple way. MCQ from Social Studies class ...",Social Studies,LwEFAQ0hW3M,https://www.youtube.com/watch?v=LwEFAQ0hW3M,127746
Trending Puzzle #shorts #puzzles #math #mathisfun #shortsvideo  #cupidtwinversion,Can you crack this Trending math Puzzle? #shorts #puzzles #youtubeshorts #math #tumhihobandhu math puzzle math puzzle ...,Mathematics,4Mix3nJZoLs,https://www.youtube.com/watch?v=4Mix3nJZoLs,42819
Pinky finger ki taakat 💪 | Science Experiment #scienceandfun #ashusir #physics #experiment #science,,Science,AsOKF0TtuDA,https://www.youtube.com/watch?v=AsOKF0TtuDA,38396287
To all the future DOCTORS!🩺❤️💊  #doctor #medicine #medical #ankaestheticly #shorts,,Health and medicine,ulPCAmvz45U,https://www.youtube.com/watch?v=ulPCAmvz45U,521
An Entire Computer Science Degree in 11 Minutes,Join my free Software Developer community: https://www.skool.com/software-developer-academy For business inquiries email ...,Computer Science and technology,m7RQFb-VcQQ,https://www.youtube.com/watch?v=m7RQFb-VcQQ,862653
Top 5 Highest paying FINANCE Jobs After MBA!!,5 Most Lucrative Finance Jobs That You Can Land After MBA!! The MBA in Finance specialisation has a wide range of job ...,Business and finance,yA7QO3S0ARk,https://www.youtube.com/watch?v=yA7QO3S0ARk,150623
GED Social Studies Practice Test!,"In this GED Social Studies Practice Test, we'll go over a full GED Social Studies practice test. Free GED Social studies practice ...",Social Studies,6fuzNRsaM7I,https://www.youtube.com/watch?v=6fuzNRsaM7I,45753
GT PGT Assam TET cum Recruitment Test Pedagogy Marathon Important  Learning Cube Alakesh kakati,GT PGT Assam TET cum Recruitment Test Pedagogy Marathon Important Learning Cube Alakesh kakati Telegram group link ...,Education and Pedagogy,rPiUVNvAkXA,https://www.youtube.com/watch?v=rPiUVNvAkXA,4992
💯real Ap 10th class Sa1 exam social studies question paper 2024|10th social Sa1 paper and answers,real Ap 10th class Sa1 exam social studies question paper 2024|10th social Sa1 paper and answers 10th class social studies ...,Social Studies,8pkJTJm6U2c,https://www.youtube.com/watch?v=8pkJTJm6U2c,7057
Gravitation Complete Chapter🔥| CLASS 9th Science| NCERT covered | Prashant Kirad,Gravitation Class 9th one shot lecture Notes Link   ...,Science,yeFQ2Ce_nKo,https://www.youtube.com/watch?v=yeFQ2Ce_nKo,3137352
Personality Develop করার উপায় । 5 Tips For PERSONALITY DEVELOPMENT Motivational video in bangla,Motivational video in bengali on the topic How to Improve your personality.5 personality development tips in Bangla kichu lok ...,Personal development,ibNsdGd5hh8,https://www.youtube.com/watch?v=ibNsdGd5hh8,29537
"RWU Feinstein School of Humanities, Arts and Education Graduate Cayley Dorr",RWU 2017 graduate Cayley Dorr introduces her students from Achievement First Providence Mayoral Academy Middle School to ...,Arts and Humanities,nf4vK0OzpE8,https://www.youtube.com/watch?v=nf4vK0OzpE8,646
How much does B.TECH pay?,Teaching #learning #facts #support #goals #like #nonprofit #career #educationmatters #technology #newtechnology ...,Computer Science and technology,TaZZOxYDfeA,https://www.youtube.com/watch?v=TaZZOxYDfeA,13839925
Medicine in the First World War,"World War One had a huge impact on medicine. It was one of the deadliest conflicts of all time: the weapons of shells, machine ...",Health and medicine,YfxRhLsAAk8,https://www.youtube.com/watch?v=YfxRhLsAAk8,81136
College Isn&#39;t Helping Them...,shorts #viral #college #charliekirk #2024.,Education and Pedagogy,z0DIMXLqCHM,https://www.youtube.com/watch?v=z0DIMXLqCHM,24099
CTET DEC 2024 संपूर्ण भाषा / LANGUAGE By Sachin Academy live 11am,APPLICATION LINK - https://bit.ly/SachinAcademyOfficalApplication ...,languages,69RvdHhueig,https://www.youtube.com/watch?v=69RvdHhueig,394689
"Seeing the Elephant: Reintegrating Arts, Humanities &amp; Sciences | Mary Beth Leigh | TEDxFairbanks","Collaborations between the arts, humanities and sciences can strengthen our connection to the ecosystems in which we live.",Arts and Humanities,_HbSBHqJaGU,https://www.youtube.com/watch?v=_HbSBHqJaGU,652
Chapter 9 | Financial Management | Business Studies | Class 12 | Part 4,Chapter 9 | Financial Management | Business Studies | Class 12 | Part 4.,Business and finance,vks9oufxX0g,https://www.youtube.com/watch?v=vks9oufxX0g,84000
Day 4 | Business studies Revision | Class 11 | Sources of Business Finance | Chapter 8,Day 4 | Business studies Revision | Class 11 | Sources of Business Finance | Chapter 8 Subscribe Our Channels – Rajat Arora ...,Business and finance,sib16hPnNts,https://www.youtube.com/watch?v=sib16hPnNts,251912
Top 6 Career Options in Humanities | career in humanities,Are you a humanities student and are confused about what should be your next step; here is a video just for you on career options ...,Arts and Humanities,LlCbM9ZLvLE,https://www.youtube.com/watch?v=LlCbM9ZLvLE,5246
Sigma math teacher 🗿 #alberteinstine #sigmasir #mathteacher #sigma,,Mathematics,#NAME?,https://www.youtube.com/watch?v=-QFduDNeVb8,7470876
Don’t Take Painkillers If You Have Dengue #fyp #dengue #mbbs #medicine,,Health and medicine,PS4FsgAhqv4,https://www.youtube.com/watch?v=PS4FsgAhqv4,241
Mike Robertson on Personal Development Interviews,"This Week on the Physical Prep Podcast: The MR Life Update, including IFAST athlete training, summer trips, and kiddo ...",Personal development,CFOjnxwbifM,https://www.youtube.com/watch?v=CFOjnxwbifM,528
⏩ RBSE CLASS 10TH HALF YEARLY PAPER MATH ✅गणित PAPER 2024-25,RBSE CLASS 10TH HALF YEARLY PAPER MATH ✓गणित PAPER 2024-25 #rbsehalfyearlyexam2024 ...,Mathematics,YX5goxBdxHA,https://www.youtube.com/watch?v=YX5goxBdxHA,50326
"BPKIHS,DHARAN #medicine #motivation #cee #youtubenepal",,Health and medicine,LY5v4SVR1AA,https://www.youtube.com/watch?v=LY5v4SVR1AA,292
London School of Business and Finance | LSBF | EduKart,London School of Business and Finance also known as LSBF is an educational institution based in London that attracts the most ...,Business and finance,s-8lPg-Kueo,https://www.youtube.com/watch?v=s-8lPg-Kueo,75
"High Reps To Tone, Low Reps To Bulk | #shorts 767","High Reps To Tone, Low Reps To Bulk | #shorts 767 | #health #nutrition #fitness #fatloss #musclegain #myths #REPS Looking for ...",Health and medicine,TjKY4zNdkM4,https://www.youtube.com/watch?v=TjKY4zNdkM4,14182
This Made Me Fail 5th Grade Math!,,Mathematics,yTLMUBpN9EY,https://www.youtube.com/watch?v=yTLMUBpN9EY,16385794
"Tesla Coil, New Science Project #shorts #science #technology #trending","Tesla Coil, New Science Project #shorts #science #technology #trending.",Science,Fzwg5Wut2OU,https://www.youtube.com/watch?v=Fzwg5Wut2OU,8678255
The 30 Laws for being a hot + powerful woman who gets it all.,Get the upgraded version my The Life Formula journal + free meditation for the next 72 hours for only $13.99 on: ...,Personal development,QEEtk3C_3W8,https://www.youtube.com/watch?v=QEEtk3C_3W8,24542
Table of 5 #mathsscam #tables #shorts #5,,Mathematics,1y5RQFJ22m8,https://www.youtube.com/watch?v=1y5RQFJ22m8,15992842
Israel in Different Languages | Flag Animation,In this flag animation you can see how Israel will sound in different languages. You will also see the Israeli flag in the style of other ...,languages,2XSIwSoi-gw,https://www.youtube.com/watch?v=2XSIwSoi-gw,437131
Top 8 Tips for Personality Development  | PERSONALITY DEVELOPMENT TIPS | DEEPAK BAJAJ,"In this video, we'll be discussing 8 easy tips that can help you in your journey of personality development. Having an attractive ...",Personal development,LnkHdqlN6dA,https://www.youtube.com/watch?v=LnkHdqlN6dA,457050
Elon Musk is Using WHAT Crypto?!?😨😨,Apply for the Automation Program Here     https://forms.gle/LAbBHjm8UTWsyMvR8 ツFollow me on My REAL Instagram ...,Business and finance,ElmWTt4xT5Y,https://www.youtube.com/watch?v=ElmWTt4xT5Y,23361
Sources of Business Finance | Class 11 | Chapter 8 | Business Studies | Part 2,In this video we are discussing about : Sources of Business Finance | Partnership | Business studies | Class 11 Subscribe Our ...,Business and finance,ZJlZTdFKC8g,https://www.youtube.com/watch?v=ZJlZTdFKC8g,472777
¿Cómo LIBERARSE estando ATADO? #miwuscience #miwuscienceespañol #shorts #trivia #trucos,"Enfocados en compartir conocimiento cientifico interesante y divertido, para poder cultivar el interés de los niños en la ciencia.",Science,PSWq15iATQw,https://www.youtube.com/watch?v=PSWq15iATQw,63249514
